entity,source_id,statement,line_item_original,line_item_standard,line_item_id,period_end,period_label,period_type,currency,units,source_value,normalized_value,normalization_method,source_location,evidence_label,confidence,normalization_note
贵州茅台,SRC-MT-FY2025,income_statement,营业收入,营业收入,revenue,2025-12-31,FY2025,annual,CNY,CNY million,168838102514.79,168838.102515,scaled_1e6,PDF p.6 主要会计数据,fact_source_reported,high,来源为人民币元并换算为百万元
贵州茅台,SRC-MT-FY2025,income_statement,归属于上市公司股东的净利润,归母净利润,net_income_attributable,2025-12-31,FY2025,annual,CNY,CNY million,82320067101.68,82320.067102,scaled_1e6,PDF p.6 主要会计数据,fact_source_reported,high,来源为人民币元并换算为百万元
贵州茅台,SRC-MT-FY2025,cash_flow,经营活动产生的现金流量净额,经营活动现金流净额,operating_cash_flow,2025-12-31,FY2025,annual,CNY,CNY million,61522204989.35,61522.204989,scaled_1e6,PDF p.6 主要会计数据,fact_source_reported,high,受财务公司成员单位存款变动影响
贵州茅台,SRC-MT-FY2025,income_statement,基本每股收益,基本每股收益,basic_eps,2025-12-31,FY2025,annual,CNY,CNY per share,65.66,65.66,as_reported,PDF p.6 主要财务指标,fact_source_reported,high,
贵州茅台,SRC-MT-FY2025,balance_sheet,总资产,总资产,total_assets,2025-12-31,FY2025,annual,CNY,CNY million,303834844021.44,303834.844021,scaled_1e6,PDF p.6 主要会计数据,fact_source_reported,high,
贵州茅台,SRC-MT-FY2025,balance_sheet,归属于上市公司股东的净资产,归母净资产,equity_attributable,2025-12-31,FY2025,annual,CNY,CNY million,244637811032.18,244637.811032,scaled_1e6,PDF p.6 主要会计数据,fact_source_reported,high,
贵州茅台,SRC-MT-Q1-2026,income_statement,营业收入,营业收入,revenue,2026-03-31,Q1 2026,quarterly,CNY,CNY million,53909252220.51,53909.252221,scaled_1e6,PDF p.1 主要财务数据,fact_source_reported,high,季度报告未经审计
贵州茅台,SRC-MT-Q1-2026,income_statement,归属于上市公司股东的净利润,归母净利润,net_income_attributable,2026-03-31,Q1 2026,quarterly,CNY,CNY million,27242512886.45,27242.512886,scaled_1e6,PDF p.1 主要财务数据,fact_source_reported,high,季度报告未经审计
贵州茅台,SRC-MT-Q1-2026,cash_flow,经营活动产生的现金流量净额,经营活动现金流净额,operating_cash_flow,2026-03-31,Q1 2026,quarterly,CNY,CNY million,26909891269.13,26909.891269,scaled_1e6,PDF p.1 主要财务数据,fact_source_reported,high,季度报告未经审计且受财务公司存款变动影响
贵州茅台,SRC-MT-Q1-2026,income_statement,基本每股收益,基本每股收益,basic_eps,2026-03-31,Q1 2026,quarterly,CNY,CNY per share,21.76,21.76,as_reported,PDF p.1 主要财务数据,fact_source_reported,high,季度报告未经审计
贵州茅台,SRC-MT-H1-2026,income_statement,营业收入,营业收入,revenue,2026-06-30,H1 2026,ytd,CNY,CNY million,90703260964.48,90703.260964,scaled_1e6,PDF p.5 主要会计数据,fact_source_reported,high,半年度累计值
贵州茅台,SRC-MT-H1-2026,income_statement,归属于上市公司股东的净利润,归母净利润,net_income_attributable,2026-06-30,H1 2026,ytd,CNY,CNY million,44516880421.86,44516.880422,scaled_1e6,PDF p.5 主要会计数据,fact_source_reported,high,半年度累计值
贵州茅台,SRC-MT-H1-2026,cash_flow,经营活动产生的现金流量净额,经营活动现金流净额,operating_cash_flow,2026-06-30,H1 2026,ytd,CNY,CNY million,70690750119.06,70690.750119,scaled_1e6,PDF p.5 主要会计数据,fact_source_reported,high,受财务公司吸收成员单位存款增加及不可随时支取同业存款减少影响
贵州茅台,SRC-MT-H1-2026,income_statement,基本每股收益,基本每股收益,basic_eps,2026-06-30,H1 2026,ytd,CNY,CNY per share,35.57,35.57,as_reported,PDF p.5 主要财务指标,fact_source_reported,high,半年度累计值
贵州茅台,SRC-MT-H1-2026,balance_sheet,总资产,总资产,total_assets,2026-06-30,H1 2026,ytd,CNY,CNY million,309050784569.31,309050.784569,scaled_1e6,PDF p.5 主要会计数据,fact_source_reported,high,
贵州茅台,SRC-MT-H1-2026,balance_sheet,归属于上市公司股东的净资产,归母净资产,equity_attributable,2026-06-30,H1 2026,ytd,CNY,CNY million,251253594419.50,251253.594420,scaled_1e6,PDF p.5 主要会计数据,fact_source_reported,high,
